secs,Last season,Last season >2000kJ,Last season >3000kJ
1,1119,833,618
2,1116,769,602
3,1094,735,582
4,1064,713,569
5,1032,681,567
6,993,680,563
7,978,684,551
8,967,680,539
9,959,672,525
10,957,659,511
11,954,661,504
12,949,662,501
13,942,658,494
14,934,649,485
15,921,639,475
16,898,627,465
17,867,614,454
18,839,601,445
19,814,580,436
20,794,555,427
21,778,537,420
22,763,533,414
23,750,531,408
24,736,529,401
25,722,525,395
26,709,519,388
27,697,514,382
28,693,509,376
29,688,503,371
30,685,496,366
31,681,489,360
32,677,481,354
33,673,475,349
34,668,468,344
35,663,462,340
36,659,456,337
37,653,451,334
38,648,446,331
39,642,441,327
40,637,437,325
41,633,433,324
42,628,429,324
43,624,425,322
44,620,422,321
45,616,419,319
46,613,416,318
47,610,413,317
48,606,411,316
49,602,409,314
50,598,406,313
51,594,404,313
52,591,403,312
53,588,401,310
54,585,399,308
55,582,398,306
56,580,397,305
57,577,396,303
58,574,395,301
59,571,394,299
60,569,393,298
65,556,385,290
70,543,380,283
75,534,379,277
80,524,377,272
85,516,372,262
90,508,365,262
95,502,361,260
100,494,360,257
105,488,357,253
110,482,353,251
115,477,348,248
120,476,348,247
130,467,351,245
140,462,350,242
150,457,346,238
160,454,345,233
170,452,342,227
180,449,342,223
190,447,340,213
200,443,337,216
210,433,336,223
220,422,332,223
230,416,329,221
240,414,326,218
250,406,324,215
260,399,323,207
270,391,323,200
280,390,326,199
290,391,327,197
300,391,328,194
330,385,328,193
360,380,324,191
390,375,319,187
420,371,319,184
450,370,316,188
480,367,312,191
510,364,311,193
540,362,310,194
570,361,308,193
600,359,305,189
660,354,305,186
720,352,303,181
780,348,296,181
840,346,295,183
900,345,288,182
960,342,282,178
1020,336,278,176
1080,330,279,175
1140,327,279,174
1200,321,278,174
1260,320,276,172
1320,319,279,171
1380,316,278,170
1440,315,276,169
1500,314,274,170
1560,314,275,170
1620,313,275,169
1680,314,276,168
1740,313,276,167
1800,313,272,
1860,314,271,
1920,314,267,
1980,309,265,
2040,300,263,
2100,296,264,
2160,296,264,
2220,296,263,
2280,296,265,
2340,295,264,
2400,294,264,
2460,294,261,
2520,293,261,
2580,293,259,
2640,292,257,
2700,292,255,
2760,291,254,
2820,289,253,
2880,289,251,
2940,288,250,
3000,288,249,
3060,288,250,
3120,288,248,
3180,288,247,
3240,287,244,
3300,286,239,
3360,286,235,
3420,287,231,
3480,285,229,
3540,285,229,
3600,280,230,
3900,272,222,
4200,271,211,
4500,265,165,
4800,265,155,
5100,263,154,
5400,261,154,
5700,259,158,
6000,260,161,
6300,260,164,
6600,259,164,
6900,257,164,
7200,254,164,
7500,250,164,
7800,250,163,
8100,247,82,
8400,242,79,
8700,239,82,
9000,234,,
9300,236,,
9600,238,,
9900,238,,
10200,238,,
10500,239,,
10800,239,,
11100,239,,
11400,239,,
11700,238,,
12000,237,,
12300,234,,
12600,207,,
12900,197,,
13200,197,,
13500,197,,
13800,196,,
14100,194,,
14400,190,,
14700,186,,
15000,182,,
15300,180,,
15600,180,,
15900,181,,
16200,181,,
16500,181,,
16800,181,,
17100,180,,
17400,180,,
17700,179,,
18000,179,,
18300,178,,
18600,108,,
18900,107,,
19200,108,,
19500,109,,
19800,109,,
20100,110,,
20400,111,,
20700,111,,
21000,112,,
21300,112,,
21600,113,,
21900,113,,
22200,112,,
22500,111,,
